,modelA_EX_ca2_e,modelA_EX_cl_e,modelA_EX_co2_e,modelA_EX_cobalt2_e,modelA_EX_fe3_e,modelA_EX_fe3pyovd_kt_e,modelA_EX_h2o_e,modelA_EX_h_e,modelA_EX_k_e,modelA_EX_mg2_e,modelA_EX_mn2_e,modelA_EX_nh4_e,modelA_EX_o2_e,modelA_EX_pyovd_kt_e,modelA_EX_zn2_e,modelB_EX_ca2_e,modelB_EX_cl_e,modelB_EX_co2_e,modelB_EX_cobalt2_e,modelB_EX_fe3_e,modelB_EX_fe3pyovd_kt_e,modelB_EX_h2o_e,modelB_EX_h_e,modelB_EX_k_e,modelB_EX_mg2_e,modelB_EX_mn2_e,modelB_EX_nh4_e,modelB_EX_o2_e,modelB_EX_pyovd_kt_e,modelB_EX_zn2_e,label
SRR12328886,-0.1484027249585627,-0.1484027249585627,667.4622127446881,-0.0028511570597326,-333.4137974723538,333.17270964136947,-242.0415322129135,-129.0231132426095,-5.565258999585126,-0.2473378749309442,-0.0197014952826937,791.717315876057,-515.9113775568759,-333.17270964136947,-0.0097224455736674,-0.0716826520729227,-0.0716826520729227,331.2996838367588,-0.0013771883203427,166.66666666666666,-166.78591474743212,-136.97944042737257,-62.18962507522366,-2.688175198091756,-0.1194710867881667,-0.0095163712934436,202.07275245757717,-301.3244029234251,166.78591474743214,-0.0046962121723102,Covid
SRR12328890,-0.0898196019240913,-0.0898196019240913,13.352599853649735,-0.0017256407670629,-1000.0,1000.0,208.6937773137338,-932.8062145106844,-3.3683299823942434,-0.1496993365400385,-0.0119241777001661,906.4277495435908,-500.1815762356091,-1000.0,-0.0058844350155595,-0.2820026538510092,-0.2820026538510092,986.6474001463504,-0.0054179184216991,999.2131557076124,-1000.0,-125.16292876758187,463.024580408887,-10.5753975049264,-0.4700044230850153,-0.0374378162941866,93.57225045640917,-499.8184237643909,1000.0,-0.0184751018181259,Covid
SRR12328896,-0.1093761338894378,-0.1093761338894378,511.1585391278021,-0.0021013666453294,-312.38850627957714,342.22153034139353,-201.2471147003831,-269.55883139730275,-4.101720596019984,-0.1822935564824174,-0.0145204435192359,603.774975279422,-347.2605503725246,-342.22153034139353,-0.0071656602605685,-0.1407663294286262,-0.1407663294286262,475.47756134443694,-0.00270444436942,206.6218668065072,-111.19755122511822,123.45509883991092,-127.7800673614883,-5.278886098014011,-0.2346105490477188,-0.0186877105927326,311.93201453673294,-417.3712776339104,111.19755122511822,-0.0092221552997481,Covid
SRR12328907,-0.0492622079161719,-0.0492622079161719,5.881803516783975,-0.0009464401136938,-1000.0,999.8625485022926,0.0,0.0,-1.847384851064476,-0.0821036798603245,-0.0065399011854196,5.900845891870858,-41.45718573380532,-999.8625485022926,-0.0032273607876049,-0.0765053631803311,-0.0765053631803311,708.6675623110089,-0.0014698436730213,999.8852346060112,-1000.0,-1000.0,-1000.0,-2.8690319606629373,-0.1275089386338095,-0.0101566197805595,924.380335220189,-500.1284275909295,1000.0,-0.0050121669249847,Covid
SRR12328916,-0.1005048100560594,-0.1005048100560594,511.5710776991766,-0.0019309281470896,-111.11111111111111,111.03769817247267,661.5873270606812,183.5152680999032,-3.769036578150323,-0.1675080167600905,-0.0133427134963868,67.75976159937272,-481.47830989073645,-111.03769817247267,-0.0065844649815795,-0.0913004400584895,-0.0913004400584895,328.4994096236961,-0.001754091067394,-111.11111111111111,111.05154758944566,-215.72592948319905,42.61178538361388,-3.4238629772018814,-0.15216740009747,-0.0121207692757757,304.04432174272915,-443.6071841048213,-111.05154758944568,-0.005981450539846,Covid
SRR12328917,-0.1047695616718632,-0.1047695616718632,99.75347633083554,-0.002012863816958,-112.12371730256518,333.26514525026323,735.3443241565519,-245.15164557672597,-3.9289692702041066,-0.1746159361197593,-0.0139088889750761,665.4886837463199,-217.7659871696336,-333.26514525026323,-0.0068638656157418,-0.1980179832448433,-0.1980179832448433,900.2465236691645,-0.003804380081533,333.3333333333333,-333.3333333333333,-273.08682972686915,424.5211478850149,-7.4258836125857215,-0.3300299720747262,-0.0262882663635082,334.51131625368004,-454.95813021917706,333.3333333333333,-0.0129729360780856,Covid
SRR12328919,-0.1594317259287463,-0.1594317259287463,361.3623908851225,-0.0030630494895008,-761.9047619047619,761.9047619047619,476.2301770376672,88.35584230933472,-5.97885819004987,-0.2657195432145717,-0.0211656719724902,246.32359901594745,-402.6509521497159,-761.9047619047619,-0.0104449987592129,-0.1110661064718733,-0.1110661064718733,615.3365528699908,-0.0021338348985824,47.61904761904762,-47.61904761904762,-36.806581510299125,-439.2473798111615,-4.165096353614408,-0.1851101774531041,-0.0147447991493062,107.11600177378692,-227.8252485521611,47.61904761904762,-0.0072763770042241,Covid
SRR12328920,-0.0849710163085959,-0.0849710163085959,412.38107737712346,-0.0016324883056393,-666.6726680736455,666.6231869003283,90.25310800033326,259.83191333733623,-3.186502898429088,-0.1416183605143211,-0.0112804941919808,94.21490094602969,-416.6520589779605,-666.6231869003283,-0.005566785122235,-0.1117464718447793,-0.1117464718447793,582.0888139433032,-0.002146906279432,523.8095238095239,-523.8282940448698,120.67487805743085,125.34003171414872,-4.190610774024758,-0.1862441197413152,-0.0148351223909303,241.5780797982329,-363.9275757501463,523.8282940448698,-0.0073209504128722,Covid
SRR12328921,-0.1199899657324484,-0.1199899657324484,400.57449396696967,-0.0023052827230192,-0.043333204202933,0.0,122.14198265449409,318.31718352745315,-4.499750505516336,-0.1999832762207347,-0.0159295036159695,157.34676874718926,-442.04704270948247,0.0,-0.0078610140854872,-0.1543859387135929,-0.1543859387135929,599.4255060330303,-0.0029661083326573,-166.7531684593868,166.5596164310083,147.0159533275502,297.2142010339951,-5.789635837718056,-0.2573098978559945,-0.0204958085784975,269.8529948179574,-507.2819375003923,-166.55961643100824,-0.0101144294142917,Covid
SRR12328924,-0.1576357921937074,-0.1576357921937074,930.8195841230043,-0.0030285454792078,-500.0,499.84867643821207,-74.98446772273275,-15.88042784605425,-5.911508777265351,-0.2627263203228381,-0.0209272492614445,681.9086348628168,-507.7760651072844,-499.848676438212,-0.0103273400841658,-0.1088148437511336,-0.1088148437511336,69.18041587699557,-0.0020905829731304,200.0,-200.09498751605315,368.4121299472892,-104.30803367357028,-4.080671622731518,-0.1813580729185673,-0.014445928344287,301.2813033907507,-431.8936924021947,200.09498751605315,-0.0071288879383587,Covid
