Model , GRSpeciesAFull , GRSpeciesBFull , GRASolo , GRBSolo , TypeOfInteraction,Patient
SRR12328893.bin.24.fbc2XSRR12328893.bin.8.fbc2 ,14.95575879014226,16.6160632249929,15.396966142179837,16.61606322499291, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.30.fbc2 ,33.36031571268701,11.974691129560108,33.36031571268701,16.51542855646088, Amensalism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.30.fbc2 ,19.85826670016644,16.346165248264978,25.739189740860027,16.51542855646088, Amensalism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.7.fbc2 ,24.58807335886714,28.689886037889725,26.295347378367893,31.24738181712612, Neutralism,Healthy
SRR12328893.bin.9.fbc2XSRR12328893.bin.21.fbc2 ,34.13472174973947,0.0,34.13472174973946,7.658885225449071, Amensalism,Healthy
SRR12328893.bin.2.fbc2XSRR12328893.bin.25.fbc2 ,15.561128301444525,16.721610534561137,15.61420440413418,16.82005321730278, Neutralism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.25.fbc2 ,26.26552344069925,16.72165247650517,26.295347378367893,16.820053217302778, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.13.fbc2 ,16.657888841876538,23.75992071475088,17.948787550996975,25.739189740860027, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.9.fbc2 ,16.165565227292817,33.951663007581594,16.37495824795021,34.13472174973947, Neutralism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.2.fbc2 ,14.521147115773704,15.579140110578756,15.396966142179837,15.61420440413418, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.2.fbc2 ,16.37495824795021,15.59336632560095,16.37495824795021,15.61420440413417, Neutralism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.24.fbc2 ,16.37495824795021,15.11003619681617,16.37495824795021,15.396966142179853, Neutralism,Healthy
SRR12328893.bin.2.fbc2XSRR12328893.bin.9.fbc2 ,0.0,34.13472174973946,15.61420440413418,34.13472174973947, Amensalism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.13.fbc2 ,35.57491030949959,21.73869215200188,35.60491007969576,25.739189740860027, Amensalism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.9.fbc2 ,35.60491007969574,17.067360874869735,35.60491007969576,34.13472174973946, Amensalism,Healthy
SRR12328893.bin.34.fbc2XSRR12328893.bin.21.fbc2 ,16.374958247950214,7.648663990496975,16.37495824795021,7.658885225449069, Neutralism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.13.fbc2 ,26.29534737836789,20.7164514867316,26.295347378367893,25.739189740860027, Amensalism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.30.fbc2 ,26.29534737836789,8.07255163898006,26.295347378367893,16.51542855646088, Amensalism,Healthy
SRR12328893.bin.8.fbc2XSRR12328893.bin.21.fbc2 ,16.61606322499291,1.5079431983748652,16.6160632249929,7.658885225449067, Amensalism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.2.fbc2 ,16.840608540778597,15.550259302611606,16.84105126153284,15.614204404134176, Neutralism,Healthy
SRR12328893.bin.8.fbc2XSRR12328893.bin.2.fbc2 ,16.61224527416438,3.078444790993619,16.6160632249929,15.614204404134169, Amensalism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.21.fbc2 ,23.215289982896227,7.391476528660338,25.739189740860027,7.65888522544907, Neutralism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.25.fbc2 ,16.841051261532808,16.820053217302775,16.84105126153284,16.82005321730278, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.10.fbc2 ,12.984347682656962,14.916810403800769,12.98434768265696,15.030650383150505, Neutralism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.8.fbc2 ,22.26767155689341,16.61596061085455,25.739189740860027,16.61606322499291, Amensalism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.8.fbc2 ,13.021052484360824,15.68045428892053,17.948787550996975,16.61606322499291, Amensalism,Healthy
SRR12328893.bin.13.fbc2XSRR12328893.bin.25.fbc2 ,25.739189740860027,16.820053217302775,25.739189740860027,16.820053217302778, Neutralism,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.9.fbc2 ,12.962735737674569,33.90192115646064,12.98434768265696,34.13472174973946, Neutralism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.9.fbc2 ,16.77192221893607,34.13472174973947,16.84105126153284,34.13472174973946, Neutralism,Healthy
SRR12328893.bin.2.fbc2XSRR12328893.bin.7.fbc2 ,14.95515340198638,29.628598036294047,15.61420440413418,31.247381817126115, Neutralism,Healthy
SRR12328893.bin.22.fbc2XSRR12328893.bin.24.fbc2 ,34.498750179333314,14.13262351684197,35.60491007969576,15.396966142179854, Neutralism,Healthy
SRR12328893.bin.25.fbc2XSRR12328893.bin.30.fbc2 ,16.820053217302778,16.515428556460872,16.820053217302778,16.51542855646088, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.2.fbc2 ,14.638370216411852,10.576215658266456,17.948787550996975,15.614204404134163, Competition,Healthy
SRR12328893.bin.14.fbc2XSRR12328893.bin.8.fbc2 ,12.984347682656958,16.61606322499291,12.98434768265696,16.61606322499291, Neutralism,Healthy
SRR12328893.bin.24.fbc2XSRR12328893.bin.7.fbc2 ,14.718317862213787,30.452342033768957,15.396966142179837,31.247381817126115, Neutralism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.22.fbc2 ,14.638370216411856,29.860873059415493,17.948787550996975,35.60491007969574, Competition,Healthy
SRR12328893.bin.2.fbc2XSRR12328893.bin.21.fbc2 ,15.61420440413418,0.0,15.61420440413418,7.658885225449065, Amensalism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.10.fbc2 ,33.23314302771598,2.939432968419545,33.36031571268701,15.03065038315051, Amensalism,Healthy
SRR12328893.bin.10.fbc2XSRR12328893.bin.8.fbc2 ,6.039051057681496,16.61596061085456,15.030650383150506,16.61606322499291, Amensalism,Healthy
SRR12328893.bin.28.fbc2XSRR12328893.bin.30.fbc2 ,15.65472193925982,16.4369858320137,17.948787550996975,16.515428556460872, Amensalism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.21.fbc2 ,33.36031571268703,0.0,33.36031571268701,7.65888522544907, Amensalism,Healthy
SRR12328893.bin.16.fbc2XSRR12328893.bin.30.fbc2 ,16.8410512615328,16.51542855646088,16.84105126153284,16.515428556460886, Neutralism,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.21.fbc2 ,26.295347378367893,0.0,26.295347378367893,7.658885225449071, Amensalism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.13.fbc2 ,26.72329634229458,19.8779578975874,33.36031571268701,25.739189740860027, Competition,Healthy
SRR12328893.bin.6.fbc2XSRR12328893.bin.9.fbc2 ,22.78572879969161,23.725920473594226,26.295347378367893,34.13472174973946, Competition,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.16.fbc2 ,33.29200519490913,16.840608540778614,33.36031571268701,16.84105126153283, Neutralism,Healthy
SRR12328893.bin.5.fbc2XSRR12328893.bin.25.fbc2 ,33.359403073430414,16.665874482099618,33.36031571268701,16.82005321730278, Neutralism,Healthy
