Model ,modelA_EX_ca2_e,modelA_EX_cl_e,modelA_EX_co2_e,modelA_EX_cobalt2_e,modelA_EX_fe3_e,modelA_EX_fe3pyovd_kt_e,modelA_EX_h2o_e,modelA_EX_h_e,modelA_EX_k_e,modelA_EX_mg2_e,modelA_EX_mn2_e,modelA_EX_nh4_e,modelA_EX_o2_e,modelA_EX_pyovd_kt_e,modelA_EX_zn2_e,modelB_EX_ca2_e,modelB_EX_cl_e,modelB_EX_co2_e,modelB_EX_cobalt2_e,modelB_EX_fe3_e,modelB_EX_fe3pyovd_kt_e,modelB_EX_h2o_e,modelB_EX_h_e,modelB_EX_k_e,modelB_EX_mg2_e,modelB_EX_mn2_e,modelB_EX_nh4_e,modelB_EX_o2_e,modelB_EX_pyovd_kt_e,modelB_EX_zn2_e,interaction_type
SRR12328886.bin.7.fbc2XSRR12328886.bin.9.fbc2 ,-0.0858975581211325,-0.0858975581211325,-3.714310255659143,-0.0016502893010965,-1000.0,999.7603284848044,-414.0172327471144,-648.7592953771091,-3.2212491954529696,-0.1431625968684784,-0.0114034990704112,621.8008212189743,-630.3653303927009,-999.7603284848044,-0.0056274865166869,-0.0527704910820148,-0.0527704910820148,1000.0,-0.0010138422878753,1000.0,-1000.0,-585.9827672528857,-351.2407046228909,-1.9789491769022332,-0.0879508184700625,-0.0070056502089528,340.93958878283047,-163.07398387534192,1000.0,-0.0034572022015026, Neutralism
SRR12328886.bin.4.fbc2XSRR12328886.bin.7.fbc2 ,-0.160518125988915,-0.160518125988915,1000.0,-0.003083921728944,-1000.0,999.759207391408,708.6408111704995,-379.1182217771891,-6.019599340281275,-0.2675302099816008,-0.0213098991466722,448.7605951908085,-500.00082514465055,-999.759207391408,-0.0105161730955387,-0.0858975581211325,-0.0858975581211325,0.0,-0.0016502893010965,0.0,-0.2396715151955959,-0.0033005786021931,-18.661320827689224,-3.2212491954529696,-0.1431625968684784,-0.0114034990704112,551.2394048091915,-499.9991748553495,0.2396715151955959,-0.0056274865166869, Neutralism
SRR12328886.bin.4.fbc2XSRR12328886.bin.9.fbc2 ,-0.1587018753713209,-0.1587018753713209,88.31464949583551,-0.0030490273846908,-1000.0,999.761931941806,-805.9876410584591,876.5669980776493,-5.951488022932608,-0.264503125618944,-0.0210687792280168,687.2147173959313,-484.8450571180399,-999.761931941806,-0.0103971833816558,-0.0481100836584573,-0.0481100836584573,911.6853505041644,-0.0009243051615612,1000.0,-1000.0,663.7780731676526,-921.1816478692978,-1.8041789739741037,-0.0801834727640198,-0.0063869486663179,312.7852826040687,-149.6499891994256,1000.0,-0.0031518806008534, Neutralism
SRR12328886.bin.13.fbc2XSRR12328886.bin.4.fbc2 ,-0.1587262459978546,-0.1587262459978546,920.1729372279524,-0.0030494956002939,999.7618953835251,-1000.0,0.0,-182.25126803962144,-5.952401947179283,-0.2645437433297957,-0.0210720145984169,997.432644042487,-483.759789454959,1000.0,-0.0103987799972173,-0.1574202214547995,-0.1574202214547995,79.82706277204761,-0.0030244038704267,-1000.0,999.7638545457984,-1000.0,932.8929334405672,-5.903424646768258,-0.2623670357579613,-0.0208986307445684,2.567355957512973,-495.22574504438506,-999.7638545457984,-0.0103132171981314, Neutralism
SRR12328886.bin.13.fbc2XSRR12328886.bin.9.fbc2 ,-0.1634628448792909,-0.1634628448792909,1000.0,-0.0031404965394585,-1000.0,999.7547900301984,-940.8851306424071,-219.6529254550005,-6.130029410284351,-0.2724380747988562,-0.0217008310877417,1000.0,-498.4194896095366,-999.7547900301984,-0.0107090931995799,0.0,0.0,0.0,0.0,1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0, Amensalism
SRR12328886.bin.13.fbc2XSRR12328886.bin.7.fbc2 ,-0.1631096993928622,-0.1631096993928622,1000.0,-0.0031337118039118,999.7553197823518,-1000.0,0.0,-220.9239668843861,-6.116786081380269,-0.27184949898799,-0.0216539485649036,995.0951174081408,-498.077773621369,1000.0,-0.0106859572513258,-0.0858975581211325,-0.0858975581211325,-3.714310255659143,-0.0016502893010965,-1000.0,999.7603284848044,100.33135209959984,-14.947010572031218,-3.2212491954529696,-0.1431625968684784,-0.0114034990704112,4.904882591859177,-499.9975245660484,-999.7603284848044,-0.0056274865166869, Neutralism
SRR12328890.bin.17.fbc2XSRR12328890.bin.19.fbc2 ,-0.0898196019240913,-0.0898196019240913,13.352599853649735,-0.0017256407670629,-1000.0,1000.0,208.6937773137338,-932.8062145106844,-3.3683299823942434,-0.1496993365400385,-0.0119241777001661,906.4277495435908,-500.1815762356091,-1000.0,-0.0058844350155595,-0.2820026538510092,-0.2820026538510092,986.6474001463504,-0.0054179184216991,999.2131557076124,-1000.0,-125.16292876758187,463.024580408887,-10.5753975049264,-0.4700044230850153,-0.0374378162941866,93.57225045640917,-499.8184237643909,1000.0,-0.0184751018181259, Amensalism
SRR12328896.bin.15.fbc2XSRR12328896.bin.11.fbc2 ,-0.0861592726408844,-0.0861592726408844,575.4617996607167,-0.0016553174378941,-1000.0,999.8707528144514,-857.0950468457722,-588.3245927902249,-3.2310637664942305,-0.1435987877348452,-0.0114382434956041,3.015624201955802,-286.261325562195,-999.8707528144514,-0.0056446324631451,-0.1302603932166448,-0.1302603932166448,424.5382003392833,-0.0025026012145872,999.636547225613,-1000.0,-142.90495315422777,-411.67540720977513,-4.884902388690762,-0.2171006553610368,-0.0172929743924896,405.6637180278794,-202.8462747941528,1000.0,-0.0085338701416048, Amensalism
SRR12328896.bin.6.fbc2XSRR12328896.bin.32.fbc2 ,-0.0435633338859133,-0.0435633338859133,941.6477499820744,-0.0008369516597213,-1000.0,999.9346508144126,-1000.0,-446.0417321002308,-1.6336710530649723,-0.0726055564765602,-0.0057833359683172,932.7515145973656,-805.1512024569846,-999.9346508144127,-0.00285400515952,-0.1887687110892102,-0.1887687110892102,58.3522500179256,-0.0036266803283524,377.78806664529793,0.0653491855872516,0.0,-553.9582678997692,-7.079026133262232,-0.314614518482017,-0.0250603610686539,67.24848540263429,-194.8487975430154,-0.0653491855872516,-0.012366979919534, Amensalism
SRR12328896.bin.30.fbc2XSRR12328896.bin.15.fbc2 ,-0.0378052588898754,-0.0378052588898754,424.5382003392833,-0.0007263258191869,-1000.0,1000.0,-325.4521609712044,-72.73686219998399,-1.4177371562924463,-0.0630087648165727,-0.0050189114107297,996.984375798044,-410.93440767051857,-1000.0,-0.0024767710434616,-0.0861592726408844,-0.0861592726408844,575.4617996607167,-0.0016553174378941,999.8707528144514,-1000.0,677.7896916097386,-588.3245927902256,-3.2310637664942305,-0.1435987877348452,-0.0114382434956041,3.0156242019561432,-286.261325562195,1000.0,-0.0056446324631451, Amensalism
