Model ,modelA_EX_ca2_e,modelA_EX_cl_e,modelA_EX_co2_e,modelA_EX_cobalt2_e,modelA_EX_cu2_e,modelA_EX_fe3_e,modelA_EX_fe3pyovd_kt_e,modelA_EX_h2o_e,modelA_EX_h_e,modelA_EX_k_e,modelA_EX_mg2_e,modelA_EX_mn2_e,modelA_EX_nh4_e,modelA_EX_o2_e,modelA_EX_pyovd_kt_e,modelA_EX_zn2_e,modelB_EX_ca2_e,modelB_EX_cl_e,modelB_EX_co2_e,modelB_EX_cobalt2_e,modelB_EX_cu2_e,modelB_EX_fe3_e,modelB_EX_fe3pyovd_kt_e,modelB_EX_h2o_e,modelB_EX_h_e,modelB_EX_k_e,modelB_EX_mg2_e,modelB_EX_mn2_e,modelB_EX_nh4_e,modelB_EX_o2_e,modelB_EX_pyovd_kt_e,modelB_EX_zn2_e,interaction_type
SRR12328893.bin.24.fbc2XSRR12328893.bin.8.fbc2 ,-0.0778447245027109,-0.0778447245027109,196.8880788765773,-0.001495575879062,-0.0106036329822245,-737.1222959849896,1000.0,1000.0,-190.73806886046577,-2.919259425524274,-0.1297412075044803,-0.0103344293239615,822.7886592475991,-600.3206243867926,-1000.0,-0.0050999137474718,-0.0864866090861369,-0.0864866090861369,803.1119211234227,-0.0016616063225001,-0.0117807888265133,1000.0,-1000.0,0.0,-809.2619311395342,-3.243339229076014,-0.1441443484768569,-0.0114816996884883,1.37585988321905,-399.6793756132074,1000.0,-0.005666077559681, Neutralism
SRR12328893.bin.5.fbc2XSRR12328893.bin.30.fbc2 ,-0.173640443284512,-0.173640443284512,1000.0,-0.0033360315712798,-0.0236524638403352,-0.6584003043698203,1000.0,0.0,121.88296450977782,-6.511700104906481,-0.2894007388075579,-0.0230519781574685,1000.0,-999.8716986687288,-1000.0,-0.0113758676579891,-0.0623282673293488,-0.0623282673293488,0.0,-0.0011974691129807,-0.008490056010828,1000.0,-1000.0,-1000.0,-11.04091743838626,-2.33737588565225,-0.1038804455489526,-0.008274511570562,-14.646089049580269,-0.1283013312712455,1000.0,-0.004083369675186, Amensalism
SRR12328893.bin.13.fbc2XSRR12328893.bin.30.fbc2 ,-0.1033622781743588,-0.1033622781743588,587.3112344973206,-0.0019858266699657,-0.0140795110904718,-1000.0,999.7115983927132,0.0,-611.580975428395,-3.876194652005552,-0.1722704636239314,-0.0137220622898439,74.28430240557304,-502.5273119572635,-999.7115983927134,-0.0067716689447934,-0.0850817901172149,-0.0850817901172149,378.8728953723637,-0.0016346165248251,-0.0115894311610418,1000.0,-1000.0,-1000.0,-388.41902457160495,-3.1906570333045465,-0.1418029835286915,-0.0112952001865096,-19.99278221500469,-11.225897845812028,1000.0,-0.0055740423496217, Amensalism
SRR12328893.bin.6.fbc2XSRR12328893.bin.7.fbc2 ,-0.1279809218328864,-0.1279809218328864,968.3859833973564,-0.00245880733587,-0.0174329440114888,1000.0,-1000.0,-245.46875617810872,-716.3338200492684,-4.799419803137312,-0.2133015363881441,-0.0169903586910322,214.1907103479075,-400.2630432087932,1000.0,-0.0083845330153735,-0.1493308568271913,-0.1493308568271913,31.61401660264346,-0.0028689886038364,-0.020341129200915,-1000.0,999.7759893698162,-754.5312438218913,784.9304320193214,-5.600064925393781,-0.2488847613786902,-0.0198247112522267,785.8092896520925,-411.7758572267805,-999.775989369816,-0.0097832511389697, Neutralism
SRR12328893.bin.9.fbc2XSRR12328893.bin.21.fbc2 ,-0.177671226707389,-0.177671226707389,1000.0,-0.0034134721749978,-0.0242015177205985,999.733476092578,-1000.0,281.0143063539949,-42.77326594876229,-6.662858742496951,-0.2961187111790195,-0.0235870927290307,1000.0,-1000.0,1000.0,-0.0116399401166518,0.0,0.0,0.0,0.0,0.0,-1000.0,1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000.0,0.0, Amensalism
SRR12328893.bin.2.fbc2XSRR12328893.bin.25.fbc2 ,-0.0809956728089673,-0.0809956728089673,996.600780845703,-0.0015561128301442,-0.0110328399657646,-1000.0,999.8784987102222,0.0,20.446432698564536,-3.0374233165438227,-0.1349927880149835,-0.0107527396562545,1000.0,-127.92896132576324,-999.8784987102224,-0.0053063447508066,-0.0870359828323898,-0.0870359828323898,3.399219154297043,-0.0016721610534204,-0.0118556218690173,999.7571520502064,-1000.0,1000.0,91.5826639839854,-3.263941325072551,-0.1450599713873543,-0.011554632879438,-2.020923684375475,-499.9962710808508,1000.0,-0.0057020691922389, Neutralism
SRR12328893.bin.6.fbc2XSRR12328893.bin.25.fbc2 ,-0.1367120495087874,-0.1367120495087874,996.5974279891234,-0.0026265523440542,-0.0186222561194426,-1000.0,1000.0,-1000.0,-8.291613857864263,-5.126846316960382,-0.227853415848017,-0.0181494766975447,978.8642646148865,-484.4575723012043,-1000.0,-0.008956543493241,-0.0870362011402221,-0.0870362011402221,3.402572010876725,-0.0016721652476689,-0.0118556516058561,999.7571514410838,-1000.0,727.9762742806759,1000.0,-3.2639495118464765,-0.1450603352336656,-0.0115546618612825,-2.020092670729128,-316.8292855218947,1000.0,-0.0057020834944978, Neutralism
SRR12328893.bin.28.fbc2XSRR12328893.bin.13.fbc2 ,-0.0867043114219541,-0.0867043114219541,552.2270837280269,-0.0016657888842246,-0.0118104431888923,-1000.0,1000.0,0.0,-40.16837233381614,-3.251503296712372,-0.1445071857033326,-0.0115106011896841,239.7040814537227,-400.7485455561541,-1000.0,-0.0056803400950684,-0.1236703873203168,-0.1236703873203168,447.77291627197314,-0.0023759920715065,-0.0168457837867208,1000.0,-1000.0,-1000.0,-959.831627666184,-4.6377702040744,-0.2061173122004902,-0.0164181052139156,760.2959185462773,-441.15795400544994,1000.0,-0.0081021329636996, Neutralism
SRR12328893.bin.34.fbc2XSRR12328893.bin.9.fbc2 ,-0.0841417670080773,-0.0841417670080773,10.135680072990796,-0.0016165565227765,-0.0114613857462018,1000.0,-992.9234429939258,1000.0,-80.05523928067123,-3.1554051734109407,-0.1402362783467197,-0.011170405572102,66.7787838708,-495.53857368925975,992.9234429939258,-0.0055124577424976,-0.1767184059544888,-0.1767184059544888,989.8643199270092,-0.0033951663007201,-0.024071729072375,-1000.0,999.7349054152368,-1000.0,-26.284932313011723,-6.627126957438918,-0.2945306765907389,-0.023460599138275,933.2212161292,-504.46142631074025,-999.7349054152368,-0.011577517085584, Neutralism
SRR12328893.bin.24.fbc2XSRR12328893.bin.2.fbc2 ,-0.0755825707376516,-0.0755825707376516,2.2456663591600545,-0.0014521147115829,-0.0102954933050796,0.0,0.1216419259834538,834.8955721055177,295.5242359283368,-2.834426268969196,-0.1259709512293056,-0.0100341126569674,287.0343293745177,-801.7094159501097,-0.1216419259834538,-0.0049517111664272,-0.0810894242755466,-0.0810894242755466,997.7543336408398,-0.001557914011073,-0.0110456103384422,-1000.0,999.8783580740164,-1000.0,695.1204893593235,-3.0409390956042444,-0.1351490404592823,-0.0107651858163535,712.9656706254823,-57.73059086214812,-999.8783580740164,-0.0053124867777114, Neutralism
SRR12328893.bin.34.fbc2XSRR12328893.bin.2.fbc2 ,-0.0852316576805378,-0.0852316576805378,1.3345590972078298,-0.0016374958247524,-0.0116098453977429,4.654183693285177,0.1217530042703174,331.857939809448,-776.8503563240735,-3.1962772252921923,-0.1420527628009722,-0.0113150961493602,761.4886313676316,-501.22594809288887,-0.1217530042703174,-0.0055838607624991,-0.0811634717247216,-0.0811634717247216,998.6654409027922,-0.0015593366325674,-0.0110556967248385,-1000.0,999.8782469957296,668.142060190552,324.78258814018363,-3.0437159531929865,-0.1352724528745739,-0.0107750161309922,238.51136863236843,-498.77405190711113,-999.8782469957296,-0.005317337917063, Neutralism
SRR12328893.bin.34.fbc2XSRR12328893.bin.24.fbc2 ,-0.0852316576805378,-0.0852316576805378,15.886214869123478,-0.0016374958247524,-0.0116098453977429,1000.0,-998.4510271994928,582.7515160366895,-509.90864145307415,-3.1962772252921923,-0.1420527628009722,-0.0113150961493602,496.1018989068159,-500.4192071186268,998.4510271994928,-0.0055838607624991,-0.0786477384044701,-0.0786477384044701,294.9098525762531,-0.0015110036197256,-0.0107130156635548,-1000.0,999.8820208373752,417.2484839633105,-387.76361410088816,-2.949373295365149,-0.1310795640073365,-0.010441035012036,503.8981010931841,-366.5190262344961,-999.8820208373752,-0.0051525223431099, Neutralism
SRR12328893.bin.2.fbc2XSRR12328893.bin.9.fbc2 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.902515755637523,-293.612690432765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.177671226707389,-0.177671226707389,1000.0,-0.0034134721749978,-0.0242015177205985,-1000.0,999.733476092578,-1000.0,-455.8300028693748,-6.662858742496951,-0.2961187111790195,-0.0235870927290307,1000.0,-493.04095427688026,-999.733476092578,-0.0116399401166518, Amensalism
SRR12328893.bin.22.fbc2XSRR12328893.bin.13.fbc2 ,-0.1851674081609644,-0.1851674081609644,1000.0,-0.0035574910309605,-0.02522261140939,-1000.0,999.7222311003034,-317.20308181534983,-238.3891756504977,-6.943973468042145,-0.3086123469348649,-0.0245822630238308,932.7642495962876,-400.0003557491031,-999.7222311003036,-0.0121310444155824,-0.1131498926512222,-0.1131498926512222,0.0,-0.0021738692151984,-0.01541273273574,1000.0,-1000.0,-682.7969181846502,-761.6108243495023,-4.243240537225688,-0.1885831544186658,-0.0150214362770384,67.23575040371247,-293.24538978712417,1000.0,-0.0074128940237869, Amensalism
